emis_key,school_name
700160408,gp Edenglen Primary School
700241448,gp Tsaroga-Phoka Primary School
700911794,gp Refalotse Primary School
700133256,gp Vezokuhle Primary School
019-690 NPO,gp Kopanong Special School
700320598,gp Imfundo Middle Primary School
700400179,gp Cosmo City Junior Primary School
700925447,gp Sihluziwe Primary School
700261081,gp Mikateka Primary School
700110858,gp Khuthalani Primary School
700260372,gp Jeugpark Primary School
700341057,gp Ntuthuko Primary School
700910845,gp Lekgalong Primary School
700241257,gp Seetsa-sa-Kgwedi Primary School
700111187,gp Protea South Primary School
700110742,gp Indyebo Primary School
700252114,gp West Rand Mine Primary School
700270942,gp Mohlakano Primary School
700340596,gp Fountain Five Primary School
700250878,gp Panorama Primary School
700340836,gp Leratadima Primary School
700150318,gp Sandtonview Intermediate School
700151407,gp Rivonia Primary School
700162263,gp Thulasizwe Primary School (BOKSBURG)
700240663,gp Entokozweni Primary School
700110056,gp Alpha Primary School
700241753,gp Shalom Primary School
700150151,gp Bramley Primary School
700120139,gp Floridalaan Primary School
700232082,gp Patogeng Primary School
700250647,gp Ebenhaeser Primary School
700321869,gp Chrystal Springs Private Combined School
700400242,gp Buhle Park Primary School
700250803,gp Paardekraal Primary School
700311217,gp Lebone Primary School
700120733,gp Suidheuwels Primary School
700341024,gp Nokulunga Primary School
700240275,gp Haakdoorn Primary School
700240499,gp A Re Thabeng Primary School
700331348,gp Skansdam Farm Primary School
700230961,gp Pretoria East Primary School
700400393,gp Kingsway No 2 Primary School
700121756,gp Siyavuma Primary School
700914265,gp Reatlegile Primary School
700140400,gp Boepakitso Primary School
700311019,gp Dumehlezi Primary School
700330878,gp Itemoheng Primary School
700320309,gp Batloung Primary School
700252859,gp Millenium Primary School
700910531,gp Ikeleng Primary School
700250118,gp Discovery Primary School
700912396,gp Reinotswe Special School
700260398,gp Kreft Primary School
700251934,gp Tarlton Farm Combined School
700340646,gp Hleziphi Primary School
700141192,gp T C Esterhuysen Primary School
700120170,gp Heerengracht Primary School
700140962,gp Thabisile Primary School
700232687,gp Brindhaven Primary School
700140277,gp Piet van Vuuren Primary School
700131102,gp Orange Grove Primary School
700132399,gp Leratong Primary School
700241083,gp Phumzile Primary School
700261099,gp Moduopo Primary School
700211672,gp Sizanani Special School
700310102,gp Anzac Primary School
700111559,gp Spectrum Primary School
700240697,gp St Francis Primary School
700150557,gp HA Jack Primary School
700220541,gp Balebogeng Primary School
700261537,gp Madibatlou Combined School
700341412,gp Tshwaragano Primary School
700120220,gp Mcbain Charles Primary School
700912053,gp Tane Primary School
700270694,gp Ekuphakameni Mine Primary School
700270306,gp Laerskool Glenharvie Combined School
700131409,gp Roseneath Primary School
700911931,gp Sekampaneng Primary School
700232272,gp Thoho-ya-Ndou Primary School
700261719,gp Kanana Primary School
700400077,gp Steve Biko Primary School
700221036,gp Rethakgetse Primary School
700120832,gp Meredale Primary School
700400176,gp June Nicholls Special School
700271205,gp Western Area Mine Combined School
700331496,gp Vukuzakhe Primary School
700340265,gp AA Visser Primary School
700161927,gp Nageng Primary School
700350314,gp Selectionpark Primary School
700241000,gp Mzimuhle Primary School
700260059,gp Bonaero Park Primary School
700911487,gp Namo Primary School
700310961,gp Dan Pharasi Primary School
700160994,gp van Dyk Primary School
700220384,gp Skuilkrans Primary School
700270512,gp Rockland Primary School
